state,x,y
Ireland,-267,3
Portugal,-323,-201
Spain,-262,-213
France,-194,-103
Italy,-73,-172
Belgium,-150,-52
Netherlands,-145,-16
Germany,-115,-28
Switzerland,-120,-112
Austria,-61,-104
Czechia,-53,-68
Slovenia,-49-124
Croatia,-28,-131
Hungary,-10,-105
Slovakia,-7,-82
Poland,-8,-31
Denmark,-103,31
Norway,-122,120
Sweden,-68,88
Finland,10,157
Estonia,30,92
Latvia,35,59
Lithuania,22,38
Greece,59,-216
Bulgaria,72,-160
Romania,53,-106
Albania,21,-201
Macedonia,37,-185
Serbia,16,-136
Belarus,54,10
Ukraine,86,-41
Moldova,100,-79
Iceland,-294,212
